Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_pdubuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
fifo_ctrl_lmubuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
ndroram_pdubuf,103,86.21,1507769,1859.47,4606400,894,4632,0.0,155300207,191525.41,474459200,92082,477096
demux_pdubuf,103,86.21,497333,626.44,1583100,284,1599,143.84,51225299,64523.32000000001,163059300,29252,164697
ndroram_lmubuf,29,86.21,1507769,1859.47,4606400,894,4632,0.0,43725301,53924.63,133585600,25926,134328
demux_lmubuf,29,86.21,497333,626.44,1583100,284,1599,143.84,14422657,18166.760000000002,45909900,8236,46371
qid_ctrl,1,32.59,1079240,1350.76,3412900,615,3442,403.7,1079240,1350.76,3412900,615,3442
qid_decoder,1,32.59,425868,535.99,1202100,233,1344,258.28,425868,535.99,1202100,233,1344
qid_locator,1,86.21,5733251,6983.76,18181200,3337,16728,303.74,5733251,6983.76,18181200,3337,16728
